period,timedelta,smoothed_ssn
train_c,822 days 00:00:00,25.9
train_c,853 days 00:00:00,26.0
train_c,883 days 00:00:00,23.7
train_c,914 days 00:00:00,21.1
train_c,944 days 00:00:00,20.2
train_c,975 days 00:00:00,19.8
train_c,1006 days 00:00:00,19.0
train_c,1034 days 00:00:00,17.7
train_c,1065 days 00:00:00,16.4
train_c,1095 days 00:00:00,14.4
train_c,1126 days 00:00:00,12.8
train_c,1156 days 00:00:00,11.6
train_c,1187 days 00:00:00,9.9
train_c,1218 days 00:00:00,9.6
train_c,1248 days 00:00:00,9.9
train_c,1279 days 00:00:00,9.2
train_c,1309 days 00:00:00,7.9
train_c,1340 days 00:00:00,6.6
train_c,1371 days 00:00:00,5.6
train_c,1400 days 00:00:00,5.1
train_c,1431 days 00:00:00,5.1
train_c,1461 days 00:00:00,5.4
train_c,1492 days 00:00:00,4.8
train_c,1522 days 00:00:00,4.0
train_c,1553 days 00:00:00,3.8
train_c,1584 days 00:00:00,3.2
train_c,1614 days 00:00:00,2.4
train_c,1645 days 00:00:00,2.3
train_c,1675 days 00:00:00,2.2
train_c,1706 days 00:00:00,2.5
train_c,1737 days 00:00:00,2.7
train_c,1765 days 00:00:00,2.9
train_c,1796 days 00:00:00,3.3
train_c,1826 days 00:00:00,3.5
train_c,1857 days 00:00:00,4.1
train_c,1887 days 00:00:00,5.5
train_c,1918 days 00:00:00,7.4
train_c,1949 days 00:00:00,9.5
train_c,1979 days 00:00:00,10.9
train_c,2010 days 00:00:00,11.7
train_c,2040 days 00:00:00,12.7
train_c,2071 days 00:00:00,14.0
train_c,2102 days 00:00:00,16.1
train_c,2130 days 00:00:00,18.5
train_c,2161 days 00:00:00,20.8
train_c,2191 days 00:00:00,23.1
train_c,2222 days 00:00:00,24.6
train_c,2252 days 00:00:00,25.2
train_c,2283 days 00:00:00,26.4
train_c,2314 days 00:00:00,29.5
train_c,2344 days 00:00:00,34.5
train_c,2375 days 00:00:00,39.1
train_c,2405 days 00:00:00,42.5
