period,timedelta,gse_x_ace,gse_y_ace,gse_z_ace,gse_x_dscovr,gse_y_dscovr,gse_z_dscovr
train_a,48 days,1521460.8,-211870.1,32836.7,,,
train_a,49 days,1518233.2,-216053.9,27897.7,,,
train_a,50 days,1515018.4,-220156.9,22941.3,,,
train_a,51 days,1511858.5,-224149.3,17968.2,,,
train_a,52 days,1508775.5,-228012.5,13013.8,,,
train_a,53 days,1505817.0,-231686.4,8079.9,,,
train_a,54 days,1502987.9,-235190.1,3074.2,,,
train_a,55 days,1500316.6,-238454.4,-1941.4,,,
train_a,56 days,1497808.5,-241452.9,-6964.7,,,
train_a,57 days,1495475.6,-244139.2,-11993.3,,,
train_a,58 days,1493318.4,-246475.5,-17023.8,,,
train_a,59 days,1491325.5,-248442.6,-22052.7,,,
train_a,60 days,1489501.9,-249964.0,-27074.9,,,
train_a,61 days,1487820.0,-251030.6,-32085.0,,,
train_a,62 days,1486244.1,-251691.1,-37080.7,,,
train_a,63 days,1484777.9,-251756.6,-42047.2,,,
train_a,64 days,1483363.3,-251319.8,-46981.1,,,
train_a,65 days,1481963.5,-250366.0,-51873.5,,,
train_a,66 days,1480535.5,-248885.6,-56713.4,,,
train_a,67 days,1479021.2,-246924.2,-61555.0,,,
train_a,68 days,1477380.3,-244498.6,-66363.1,,,
train_a,69 days,1475587.7,-241552.7,-70985.6,,,
train_a,70 days,1473615.1,-238229.6,-75513.6,,,
train_a,71 days,1471429.4,-234550.2,-79925.2,,,
train_a,72 days,1469057.7,-230609.1,-84222.8,,,
train_a,73 days,1466517.2,-226454.6,-88399.1,,,
train_a,74 days,1463828.7,-222119.8,-92433.4,,,
train_a,75 days,1461053.4,-217665.3,-96340.0,,,
train_a,76 days,1458231.6,-213111.2,-100110.1,,,
train_a,77 days,1455411.7,-208471.8,-103737.0,,,
train_a,78 days,1452633.9,-203762.3,-107233.4,,,
train_a,79 days,1449975.4,-198972.4,-110578.4,,,
train_a,80 days,1447443.7,-194121.5,-113813.8,,,
train_a,81 days,1445061.1,-189163.4,-116879.4,,,
train_a,82 days,1442864.7,-184101.5,-119806.5,,,
train_a,83 days,1440853.6,-178925.3,-122605.2,,,
train_a,84 days,1439092.9,-173588.2,-125248.9,,,
train_a,85 days,1437569.6,-168090.3,-127757.0,,,
train_a,86 days,1436291.9,-162472.3,-130019.1,,,
train_a,87 days,1435267.0,-156671.7,-132078.5,,,
train_a,88 days,1434510.2,-150499.5,-134137.0,,,
train_a,89 days,1434000.0,-144044.6,-136044.4,,,
train_a,90 days,1433734.2,-137257.8,-137786.0,,,
train_a,91 days,1433659.0,-130161.8,-139379.3,,,
train_a,92 days,1433767.5,-122697.5,-140799.4,,,
train_a,93 days,1434016.3,-114847.3,-142036.6,,,
train_a,94 days,1434344.8,-106680.8,-143119.3,,,
train_a,95 days,1434719.9,-98110.3,-143991.1,,,
train_a,96 days,1435074.0,-89269.5,-144724.4,,,
train_a,97 days,1435361.2,-80135.4,-145268.0,,,
train_a,98 days,1435558.3,-70711.1,-145558.7,,,
train_a,99 days,1435614.3,-61093.7,-145634.0,,,
train_a,100 days,1435518.8,-51356.5,-145501.7,,,
train_a,101 days,1435269.5,-41561.5,-145160.3,,,
train_a,102 days,1434872.0,-31773.8,-144599.1,,,
train_a,103 days,1434361.5,-22050.4,-143833.3,,,
train_a,104 days,1433770.6,-12441.2,-142861.8,,,
train_a,105 days,1433140.1,-2980.1,-141695.6,,,
train_a,106 days,1432501.1,6283.9,-140383.7,,,
train_a,107 days,1431897.8,15332.2,-138918.2,,,
train_a,108 days,1431375.0,24214.8,-137221.5,,,
train_a,109 days,1430977.7,32853.4,-135330.7,,,
train_a,110 days,1430722.2,41300.3,-133229.9,,,
train_a,111 days,1430644.3,49536.5,-130948.1,,,
train_a,112 days,1430747.4,57553.9,-128570.4,,,
train_a,113 days,1431081.8,65382.6,-126044.3,,,
train_a,114 days,1431675.9,73033.6,-123365.2,,,
train_a,115 days,1432448.3,80561.6,-120560.8,,,
train_a,116 days,1433553.2,87957.6,-117603.0,,,
train_a,117 days,1434898.0,95278.7,-114527.6,,,
train_a,118 days,1436508.0,102541.9,-111325.7,,,
train_a,119 days,1438364.9,109786.4,-108004.1,,,
train_a,120 days,1440441.9,117031.5,-104516.5,,,
train_a,121 days,1442692.5,124304.1,-100908.7,,,
train_a,122 days,1445082.5,131627.7,-97201.4,,,
train_a,123 days,1447560.4,138989.9,-93351.1,,,
train_a,124 days,1450081.0,146396.0,-89357.7,,,
train_a,125 days,1452585.4,153819.3,-85241.8,,,
train_a,126 days,1455026.8,161229.7,-81000.8,,,
train_a,127 days,1457352.6,168604.1,-76654.7,,,
train_a,128 days,1459530.3,175884.3,-72205.6,,,
train_a,129 days,1461556.1,182961.2,-67612.6,,,
train_a,130 days,1463405.7,189798.1,-62912.0,,,
train_a,131 days,1465102.0,196368.0,-58123.0,,,
train_a,132 days,1466648.6,202596.7,-53247.5,,,
train_a,133 days,1468074.3,208439.4,-48297.1,,,
train_a,134 days,1469417.2,213893.1,-43287.3,,,
train_a,135 days,1470705.3,218884.6,-38223.0,,,
train_a,136 days,1471976.5,223472.6,-33121.7,,,
train_a,137 days,1473263.4,227538.4,-27992.0,,,
train_a,138 days,1474599.9,231144.3,-22844.5,,,
train_a,139 days,1476029.0,234276.7,-17677.4,,,
train_a,140 days,1477560.2,236996.8,-12506.9,,,
train_a,141 days,1479241.5,239243.3,-7340.4,,,
train_a,142 days,1481095.5,241057.3,-2185.3,,,
train_a,143 days,1483145.7,242468.2,2952.0,,,
train_a,144 days,1485406.6,243515.2,8067.0,,,
train_a,145 days,1487892.2,244233.1,13155.6,,,
train_a,146 days,1490594.8,244711.8,18201.5,,,
train_a,147 days,1493523.8,244973.8,23204.8,,,
train_a,148 days,1496674.9,244973.6,28196.9,,,
train_a,149 days,1499982.1,244839.0,33160.9,,,
train_a,150 days,1503440.4,244578.2,38090.5,,,
train_a,151 days,1506989.8,244227.7,42987.6,,,
train_a,152 days,1510572.7,243814.8,47854.4,,,
train_a,153 days,1514137.1,243344.9,52690.8,,,
train_a,154 days,1517631.3,242768.3,57483.3,,,
train_a,155 days,1521004.0,242087.0,62234.7,,,
train_a,156 days,1524217.5,241272.8,66940.4,,,
train_a,157 days,1527242.0,240292.1,71594.4,,,
train_a,158 days,1530039.1,239084.2,76188.2,,,
train_a,159 days,1532628.3,237627.2,80720.0,,,
train_a,160 days,1534984.7,235863.3,85162.9,,,
train_a,161 days,1537106.3,233741.8,89512.2,,,
train_a,162 days,1539021.6,231244.8,93762.1,,,
train_a,163 days,1540760.2,228362.1,97908.1,,,
train_a,164 days,1542346.9,225078.9,101943.8,,,
train_a,165 days,1543794.5,221350.1,105846.1,,,
train_a,166 days,1545146.2,217214.1,109620.9,,,
train_a,167 days,1546439.0,212601.2,113260.3,,,
train_a,168 days,1547701.5,207562.8,116761.7,,,
train_a,169 days,1548965.5,202093.3,120115.4,,,
train_a,170 days,1550261.5,196229.0,123324.9,,,
train_a,171 days,1551624.1,189969.8,126378.5,,,
train_a,172 days,1553080.1,183363.3,129280.9,,,
train_a,173 days,1554662.8,176433.6,132022.6,,,
train_a,174 days,1556373.2,169262.5,134624.0,,,
train_a,175 days,1558241.9,161870.5,137064.6,,,
train_a,176 days,1560256.4,154335.7,139356.6,,,
train_a,177 days,1562404.1,146721.5,141489.1,,,
train_a,178 days,1564651.1,139073.7,143483.6,,,
train_a,179 days,1566912.8,131464.5,145424.9,,,
train_a,180 days,1569200.7,123933.3,147194.2,,,
train_a,181 days,1571462.9,116424.0,148816.3,,,
train_a,182 days,1573616.7,109005.9,150291.1,,,
train_a,183 days,1575624.1,101663.6,151636.4,,,
train_a,184 days,1577431.0,94387.8,152841.3,,,
train_a,185 days,1579014.4,87163.4,153938.3,,,
train_a,186 days,1580308.2,79970.3,154912.6,,,
train_a,187 days,1581322.5,72743.3,155683.0,,,
train_a,188 days,1582047.5,65473.3,156301.7,,,
train_a,189 days,1582459.6,58125.9,156752.8,,,
train_a,190 days,1582568.4,50672.2,157032.8,,,
train_a,191 days,1582397.6,43091.2,157143.7,,,
train_a,192 days,1581957.5,35377.2,157050.5,,,
train_a,193 days,1581277.3,27505.5,156767.2,,,
train_a,194 days,1580386.2,19431.5,156342.0,,,
train_a,195 days,1579304.5,11162.5,155728.1,,,
train_a,196 days,1578073.9,2703.8,154933.0,,,
train_a,197 days,1576726.1,-5948.3,153952.1,,,
train_a,198 days,1575302.8,-14771.4,152801.1,,,
train_a,199 days,1573835.5,-23775.9,151456.8,,,
train_a,200 days,1572371.0,-32925.8,149933.6,,,
train_a,201 days,1570941.8,-42179.7,148252.9,,,
train_a,202 days,1569588.5,-51509.4,146399.7,,,
train_a,203 days,1568345.0,-60855.2,144380.7,,,
train_a,204 days,1567220.9,-70155.5,142215.7,,,
train_a,205 days,1566224.5,-79342.8,139907.1,,,
train_a,206 days,1565397.9,-88352.6,137482.9,,,
train_a,207 days,1564725.9,-97127.3,134951.1,,,
train_a,208 days,1564018.2,-105617.5,132264.6,,,
train_a,209 days,1563315.7,-113764.9,129454.8,,,
train_a,210 days,1562564.7,-121557.7,126528.7,,,
train_a,211 days,1561745.1,-129058.3,123509.7,,,
train_a,212 days,1560766.0,-136130.7,120354.8,,,
train_a,213 days,1559579.7,-142823.2,117073.8,,,
train_a,214 days,1558199.1,-149207.2,113687.6,,,
train_a,215 days,1556678.1,-155415.5,110231.3,,,
train_a,216 days,1554842.8,-161251.7,106622.0,,,
train_a,217 days,1552724.5,-166817.0,102885.0,,,
train_a,218 days,1550342.4,-172162.3,99027.9,,,
train_a,219 days,1547654.4,-177271.3,95053.9,,,
train_a,220 days,1544728.5,-182197.5,91007.6,,,
train_a,221 days,1541681.3,-187070.5,86856.3,,,
train_a,222 days,1538335.9,-191789.7,82495.6,,,
train_a,223 days,1534803.0,-196385.6,78055.9,,,
train_a,224 days,1531131.5,-200900.0,73526.1,,,
train_a,225 days,1527325.9,-205329.3,68884.9,,,
train_a,226 days,1523442.7,-209693.6,64151.9,,,
train_a,227 days,1519516.9,-213997.2,59346.5,,,
train_a,228 days,1515594.6,-218234.8,54472.9,,,
train_a,229 days,1511726.3,-222386.3,49501.9,,,
train_a,230 days,1507961.7,-226428.1,44466.0,,,
train_a,231 days,1504341.7,-230329.6,39379.9,,,
train_a,232 days,1500901.6,-234046.3,34255.1,,,
train_a,233 days,1497676.6,-237511.3,29102.1,,,
train_a,234 days,1494669.4,-240681.6,23946.4,,,
train_a,235 days,1491866.4,-243507.7,18795.6,,,
train_a,236 days,1489265.4,-245883.0,13624.5,,,
train_a,237 days,1486833.8,-247760.3,8461.9,,,
train_a,238 days,1484521.7,-249114.9,3312.9,,,
train_a,239 days,1482279.1,-249951.8,-1820.2,,,
train_a,240 days,1480062.9,-250246.8,-6934.0,,,
train_a,241 days,1477841.3,-250103.4,-12031.0,,,
train_a,242 days,1475555.9,-249380.5,-17103.8,,,
train_a,243 days,1473186.0,-248197.1,-22154.3,,,
train_a,244 days,1470726.7,-246551.5,-27178.3,,,
train_a,245 days,1468130.5,-244439.0,-32171.9,,,
train_a,246 days,1465394.2,-241932.9,-37134.8,,,
train_a,247 days,1462513.0,-239070.3,-42064.3,,,
train_a,248 days,1459479.0,-235869.7,-46955.0,,,
train_a,249 days,1456300.7,-232387.3,-51804.2,,,
train_a,250 days,1452982.7,-228638.9,-56603.7,,,
train_a,251 days,1449559.3,-224665.7,-61353.2,,,
train_a,252 days,1446037.7,-220491.2,-66039.9,,,
train_a,253 days,1442451.7,-216159.6,-70659.5,,,
train_a,254 days,1438833.6,-211706.7,-75209.0,,,
train_a,255 days,1435215.6,-207148.5,-79675.3,,,
train_a,256 days,1431639.8,-202504.8,-84047.7,,,
train_a,257 days,1428154.6,-197789.0,-88314.5,,,
train_a,258 days,1424812.5,-193003.7,-92463.7,,,
train_a,259 days,1421634.6,-188151.2,-96501.1,,,
train_a,260 days,1418693.0,-183202.0,-100397.8,,,
train_a,261 days,1416051.6,-178109.3,-104132.4,,,
train_a,262 days,1413678.8,-172861.8,-107726.4,,,
train_a,263 days,1411646.8,-167399.7,-111142.7,,,
train_a,264 days,1409910.9,-161691.9,-114395.9,,,
train_a,265 days,1408474.1,-155610.0,-117467.1,,,
train_a,266 days,1407312.7,-149143.2,-120347.3,,,
train_a,267 days,1406355.8,-142317.8,-123059.7,,,
train_a,268 days,1405587.0,-135069.5,-125578.5,,,
train_a,269 days,1404942.0,-127454.3,-127928.8,,,
train_a,270 days,1404381.3,-119483.1,-130107.5,,,
train_a,271 days,1403838.2,-111176.4,-132112.7,,,
train_a,272 days,1403303.0,-102488.2,-133923.9,,,
train_a,273 days,1402775.9,-93489.3,-135549.3,,,
train_a,274 days,1402207.6,-84246.7,-137006.0,,,
train_a,275 days,1401588.7,-74807.6,-138306.8,,,
train_a,276 days,1400891.5,-65133.9,-139386.6,,,
train_a,277 days,1400096.9,-55347.4,-140292.2,,,
train_a,278 days,1399217.5,-45495.4,-141046.3,,,
train_a,279 days,1398235.6,-35615.4,-141616.4,,,
train_a,280 days,1397178.1,-25719.1,-141989.2,,,
train_a,281 days,1396054.1,-15874.9,-142180.9,,,
train_a,282 days,1394881.9,-6136.9,-142174.3,,,
train_a,283 days,1393692.2,3466.6,-141988.7,,,
train_a,284 days,1392517.1,12880.1,-141599.9,,,
train_a,285 days,1391399.8,22069.0,-141006.2,,,
train_a,286 days,1390371.6,31037.0,-140226.4,,,
train_a,287 days,1389493.5,39736.2,-139229.5,,,
train_a,288 days,1388801.6,48183.5,-138029.0,,,
train_a,289 days,1388367.8,56366.6,-136600.1,,,
train_a,290 days,1388193.1,64343.8,-134973.2,,,
train_a,291 days,1388357.1,72119.2,-133113.3,,,
train_a,292 days,1388813.5,79767.3,-131063.9,,,
train_a,293 days,1389715.6,87301.0,-128728.8,,,
train_a,294 days,1390866.9,94793.1,-126232.4,,,
train_a,295 days,1392137.9,102281.2,-123651.9,,,
train_a,296 days,1393782.9,109765.0,-120800.0,,,
train_a,297 days,1395623.8,117267.0,-117779.7,,,
train_a,298 days,1397625.7,124789.0,-114594.6,,,
train_a,299 days,1399749.2,132323.5,-111251.2,,,
train_a,300 days,1401950.0,139856.2,-107769.1,,,
train_a,301 days,1404198.1,147362.9,-104137.8,,,
train_a,302 days,1406457.0,154828.5,-100394.1,,,
train_a,303 days,1408650.9,162233.6,-96554.2,,,
train_a,304 days,1410767.7,169585.2,-92667.4,,,
train_a,305 days,1412876.5,176706.9,-88567.3,,,
train_a,306 days,1414895.9,183649.8,-84370.6,,,
train_a,307 days,1416811.4,190376.1,-80080.0,,,
train_a,308 days,1418597.4,196805.6,-75687.5,,,
train_a,309 days,1420266.7,202924.9,-71208.4,,,
train_a,310 days,1421824.7,208688.0,-66644.2,,,
train_a,311 days,1423291.2,214088.8,-62003.9,,,
train_a,312 days,1424672.5,218994.2,-57272.6,,,
train_a,313 days,1426012.6,223414.1,-52461.5,,,
train_a,314 days,1427348.8,227349.5,-47576.7,,,
train_a,315 days,1428723.1,230751.4,-42615.3,,,
train_a,316 days,1430184.4,233610.1,-37579.7,,,
train_a,317 days,1431770.2,235964.0,-32477.7,,,
train_a,318 days,1433542.2,237777.6,-27306.7,,,
train_a,319 days,1435875.7,239248.5,-22108.1,,,
train_a,320 days,1438895.6,240376.6,-16886.7,,,
train_a,321 days,1441352.1,240945.5,-11567.7,,,
train_a,322 days,1444107.0,241131.0,-6212.8,,,
train_a,323 days,1447112.1,241034.4,-839.5,,,
train_a,324 days,1450322.8,240720.6,4539.9,,,
train_a,325 days,1453724.9,240206.9,9914.7,,,
train_a,326 days,1457284.1,239517.7,15272.1,,,
train_a,327 days,1460953.9,238679.2,20601.8,,,
train_a,328 days,1464693.1,237709.1,25895.7,,,
train_a,329 days,1468465.6,236596.1,31138.7,,,
train_a,330 days,1472228.4,235352.9,36326.9,,,
train_a,331 days,1475947.5,233976.1,41453.9,,,
train_a,332 days,1479586.5,232451.3,46511.1,,,
train_a,333 days,1483106.6,230759.3,51490.4,,,
train_a,334 days,1486477.7,228885.0,56389.0,,,
train_a,335 days,1489671.2,226805.5,61202.9,,,
train_a,336 days,1492660.1,224490.5,65928.2,,,
train_a,337 days,1495415.5,221895.4,70559.1,,,
train_a,338 days,1497937.5,218996.8,75098.3,,,
train_a,339 days,1500238.7,215780.2,79550.8,,,
train_a,340 days,1502300.7,212166.2,83905.4,,,
train_a,341 days,1504159.4,208143.9,88168.3,,,
train_a,342 days,1505841.9,203725.6,92371.0,,,
train_a,343 days,1507361.1,198831.6,96514.0,,,
train_a,344 days,1508813.1,193434.6,100504.0,,,
train_a,345 days,1510222.2,187595.5,104404.1,,,
train_a,346 days,1511629.5,181307.9,108207.5,,,
train_a,347 days,1513083.8,174573.8,111903.1,,,
train_a,348 days,1514620.6,167459.5,115491.1,,,
train_a,349 days,1516305.1,159949.4,118927.1,,,
train_a,350 days,1518173.1,152070.4,122183.3,,,
train_a,351 days,1520041.1,144191.4,125439.4,,,
train_a,352 days,1521995.3,136198.7,128599.1,,,
train_a,353 days,1524146.8,127963.2,131521.9,,,
train_a,354 days,1526899.8,119519.5,134239.8,,,
train_a,355 days,1530113.9,110934.1,136764.8,,,
train_a,356 days,1532522.9,102577.3,139195.7,,,
train_a,357 days,1534925.3,94257.9,141442.4,,,
train_a,358 days,1537283.0,85996.9,143507.7,,,
train_a,359 days,1539569.3,77802.3,145405.1,,,
train_a,360 days,1541749.6,69687.1,147123.2,,,
train_a,361 days,1543764.2,61668.6,148636.0,,,
train_a,362 days,1545589.0,53736.2,149963.1,,,
train_a,363 days,1547214.8,45875.3,151123.8,,,
train_a,364 days,1548563.3,38086.1,152085.2,,,
train_a,365 days,1549636.5,30339.5,152873.2,,,
train_a,366 days,1550410.2,22611.6,153489.0,,,
train_a,367 days,1550852.0,14869.6,153927.5,,,
train_a,368 days,1550964.0,7074.8,154196.5,,,
train_a,369 days,1550773.1,-800.9,154305.6,,,
train_a,370 days,1550278.2,-8801.2,154246.2,,,
train_a,371 days,1549534.1,-16961.3,154045.4,,,
train_a,372 days,1548582.1,-25300.8,153701.1,,,
train_a,373 days,1547473.1,-33813.3,153208.5,,,
train_a,374 days,1546249.9,-42491.7,152556.2,,,
train_a,375 days,1544971.9,-51337.2,151766.1,,,
train_a,376 days,1543684.0,-60320.6,150816.4,,,
train_a,377 days,1542422.9,-69383.2,149718.4,,,
train_a,378 days,1541225.5,-78492.3,148455.9,,,
train_a,379 days,1540118.5,-87606.8,147034.3,,,
train_a,380 days,1539110.4,-96664.4,145449.6,,,
train_a,381 days,1538203.4,-105618.0,143702.8,,,
train_a,382 days,1537408.5,-114388.2,141765.2,,,
train_a,383 days,1536687.6,-122991.0,139687.8,,,
train_a,384 days,1536053.7,-131296.5,137406.3,,,
train_a,385 days,1535466.3,-139333.6,134966.7,,,
train_a,386 days,1534907.6,-147057.9,132360.3,,,
train_a,387 days,1534350.4,-154419.3,129578.4,,,
train_a,388 days,1533764.7,-161410.5,126631.6,,,
train_a,389 days,1533113.8,-168008.8,123543.5,,,
train_a,390 days,1532367.8,-174211.0,120307.8,,,
train_a,391 days,1531504.9,-180032.3,116901.6,,,
train_a,392 days,1530479.3,-185455.8,113352.0,,,
train_a,393 days,1529253.7,-190491.6,109666.5,,,
train_a,394 days,1527789.2,-195155.9,105852.2,,,
train_a,395 days,1526080.3,-199506.4,101928.2,,,
train_a,396 days,1524084.3,-203551.3,97894.0,,,
train_a,397 days,1521824.2,-207360.6,93771.4,,,
train_a,398 days,1519279.5,-210941.9,89574.3,,,
train_a,399 days,1516499.8,-214393.6,85237.2,,,
train_a,400 days,1513519.7,-217772.6,80765.9,,,
train_a,401 days,1510384.4,-221014.8,76353.6,,,
train_a,402 days,1507151.5,-224200.0,71849.3,,,
train_a,403 days,1503874.2,-227320.5,67274.6,,,
train_a,404 days,1500604.3,-230370.1,62637.3,,,
train_a,405 days,1497390.0,-233325.6,57935.3,,,
train_a,406 days,1494275.5,-236157.6,53168.9,,,
train_a,407 days,1491289.8,-238838.3,48341.7,,,
train_a,408 days,1488469.4,-241304.5,43447.9,,,
train_a,409 days,1485824.3,-243533.2,38493.5,,,
train_a,410 days,1483361.3,-245511.4,33485.2,,,
train_a,411 days,1481096.5,-247163.7,28420.1,,,
train_a,412 days,1479014.2,-248465.9,23314.2,,,
train_a,413 days,1477119.1,-249356.1,18169.1,,,
train_a,414 days,1475390.3,-249839.5,12968.3,,,
train_a,415 days,1473815.8,-249851.0,7731.9,,,
train_a,416 days,1472351.2,-249457.8,2471.5,,,
train_a,417 days,1471000.9,-248516.4,-2810.8,,,
train_a,418 days,1469718.7,-247078.0,-8102.9,,,
train_a,419 days,1468472.6,-245167.2,-13396.3,,,
train_a,420 days,1467228.5,-242707.0,-18679.9,,,
train_a,421 days,1465944.8,-239756.5,-23943.5,,,
train_a,422 days,1464642.0,-236370.6,-29198.1,,,
train_a,423 days,1463258.9,-232562.3,-34419.9,,,
train_a,424 days,1461658.0,-228281.4,-39556.6,,,
train_a,425 days,1459873.5,-223632.8,-44625.7,,,
train_a,426 days,1457899.2,-218680.6,-49616.2,,,
train_a,427 days,1455730.9,-213476.1,-54519.9,,,
train_a,428 days,1453407.2,-208110.6,-59346.3,,,
train_a,429 days,1450957.5,-202617.6,-64074.7,,,
train_a,430 days,1448431.4,-197041.5,-68703.6,,,
train_a,431 days,1445878.8,-191410.9,-73232.9,,,
train_a,432 days,1443354.7,-185739.0,-77653.5,,,
train_a,433 days,1440900.1,-180034.5,-81977.3,,,
train_a,434 days,1438570.1,-174287.9,-86190.7,,,
train_a,435 days,1436394.1,-168489.6,-90300.4,,,
train_a,436 days,1434418.4,-162587.0,-94264.5,,,
train_a,437 days,1432648.3,-156580.7,-98107.0,,,
train_a,438 days,1431124.5,-150488.2,-101875.6,,,
train_a,439 days,1429831.1,-144259.6,-105536.6,,,
train_a,440 days,1428785.2,-137864.8,-109081.5,,,
train_a,441 days,1428007.7,-131260.6,-112496.2,,,
train_a,442 days,1427474.1,-124436.1,-115785.1,,,
train_a,443 days,1427183.4,-117349.1,-118914.8,,,
train_a,444 days,1427108.6,-109996.1,-121893.1,,,
train_a,445 days,1427240.0,-102365.8,-124756.6,,,
train_a,446 days,1427546.3,-94437.6,-127468.0,,,
train_a,447 days,1427991.8,-86213.6,-130029.2,,,
train_a,448 days,1428552.3,-77661.0,-132416.8,,,
train_a,449 days,1429182.9,-68808.6,-134627.4,,,
train_a,450 days,1429838.5,-59665.2,-136656.7,,,
train_a,451 days,1430472.6,-50250.9,-138495.1,,,
train_a,452 days,1431035.7,-40598.3,-140132.1,,,
train_a,453 days,1431489.6,-30760.1,-141570.6,,,
train_a,454 days,1431795.2,-20787.2,-142795.9,,,
train_a,455 days,1431927.5,-10765.9,-143797.9,,,
train_a,456 days,1431919.7,-752.0,-144619.6,,,
train_a,457 days,1431743.1,9169.7,-145200.4,,,
train_a,458 days,1431459.3,18948.8,-145581.5,,,
train_a,459 days,1431107.3,28545.2,-145751.1,,,
train_a,460 days,1430732.6,37913.6,-145704.0,,,
train_a,461 days,1430385.9,47016.1,-145482.8,,,
train_a,462 days,1430109.1,55860.4,-145081.6,,,
train_a,463 days,1429943.8,64435.8,-144500.7,,,
train_a,464 days,1429939.6,72726.7,-143732.0,,,
train_a,465 days,1430093.6,80780.2,-142834.4,,,
train_a,466 days,1430472.0,88560.7,-141772.8,,,
train_a,467 days,1431065.9,96145.3,-140517.4,,,
train_a,468 days,1431910.8,103517.6,-139093.0,,,
train_a,469 days,1433004.0,110711.7,-137510.1,,,
train_a,470 days,1434348.7,117752.1,-135771.0,,,
train_a,471 days,1435970.0,124652.2,-133860.3,,,
train_a,472 days,1437793.5,131465.8,-131821.6,,,
train_a,473 days,1439901.5,138182.8,-129592.6,,,
train_a,474 days,1442205.8,144845.6,-127239.0,,,
train_a,475 days,1444682.6,151473.0,-124754.9,,,
train_a,476 days,1447337.9,158084.9,-122067.0,,,
train_a,477 days,1450110.9,164688.9,-119220.8,,,
train_a,478 days,1452957.1,171288.6,-116224.9,,,
train_a,479 days,1455835.9,177879.6,-113057.5,,,
train_a,480 days,1458689.6,184442.7,-109702.1,,,
train_a,481 days,1461473.3,190953.3,-106223.5,,,
train_a,482 days,1464127.1,197358.4,-102581.5,,,
train_a,483 days,1466632.5,203621.3,-98800.6,,,
train_a,484 days,1468950.4,209666.6,-94873.4,,,
train_a,485 days,1471066.5,215409.6,-90804.4,,,
train_a,486 days,1473033.3,220876.8,-86632.9,,,
train_a,487 days,1474815.6,225876.9,-82333.5,,,
train_a,488 days,1476489.0,230459.4,-77943.8,,,
train_a,489 days,1478092.0,234581.0,-73456.9,,,
train_a,490 days,1479663.5,238218.3,-68890.9,,,
train_a,491 days,1481244.2,241365.7,-64255.8,,,
train_a,492 days,1482875.6,243997.8,-59557.7,,,
train_a,493 days,1484586.0,246164.5,-54809.5,,,
train_a,494 days,1486398.6,247885.1,-50017.9,,,
