period,timedelta,dst
train_a,4 days 07:00:00,-29
train_a,4 days 08:00:00,-23
train_a,4 days 09:00:00,-20
train_a,4 days 10:00:00,-22
train_a,4 days 11:00:00,-20
train_a,4 days 12:00:00,-20
train_a,4 days 13:00:00,-21
train_a,4 days 14:00:00,-21
train_a,4 days 15:00:00,-21
train_a,4 days 16:00:00,-18
train_a,4 days 17:00:00,-21
train_a,4 days 18:00:00,-19
train_a,4 days 19:00:00,-21
train_a,4 days 20:00:00,-22
train_a,4 days 21:00:00,-20
train_a,4 days 22:00:00,-19
train_a,4 days 23:00:00,-21
train_a,5 days 00:00:00,-16
train_a,5 days 01:00:00,-16
train_a,5 days 02:00:00,-19
train_a,5 days 03:00:00,-19
train_a,5 days 04:00:00,-15
train_a,5 days 05:00:00,-12
train_a,5 days 06:00:00,-13
train_a,5 days 07:00:00,-13
train_a,5 days 08:00:00,-10
train_a,5 days 09:00:00,-10
train_a,5 days 10:00:00,-5
train_a,5 days 11:00:00,-2
train_a,5 days 12:00:00,-3
train_a,5 days 13:00:00,-6
train_a,5 days 14:00:00,-7
train_a,5 days 15:00:00,-7
train_a,5 days 16:00:00,-7
train_a,5 days 17:00:00,-7
train_a,5 days 18:00:00,-6
train_a,5 days 19:00:00,-7
train_a,5 days 20:00:00,-9
train_a,5 days 21:00:00,-7
train_a,5 days 22:00:00,-7
train_a,5 days 23:00:00,-7
train_a,6 days 00:00:00,-6
train_a,6 days 01:00:00,-7
train_a,6 days 02:00:00,-11
train_a,6 days 03:00:00,-7
train_a,6 days 04:00:00,-5
train_a,6 days 05:00:00,-2
train_a,6 days 06:00:00,-3
train_a,6 days 07:00:00,0
train_a,6 days 08:00:00,1
train_a,6 days 09:00:00,-4
train_a,6 days 10:00:00,-5
train_a,6 days 11:00:00,-7
train_a,6 days 12:00:00,-4
train_a,6 days 13:00:00,-4
train_a,6 days 14:00:00,-7
train_a,6 days 15:00:00,-10
train_a,6 days 16:00:00,-11
train_a,6 days 17:00:00,-12
train_a,6 days 18:00:00,-16
train_a,6 days 19:00:00,-13
train_a,6 days 20:00:00,-9
train_a,6 days 21:00:00,-6
train_a,6 days 22:00:00,-2
train_a,6 days 23:00:00,0
train_a,7 days 00:00:00,0
train_a,7 days 01:00:00,0
train_a,7 days 02:00:00,-4
train_a,7 days 03:00:00,-6
train_a,7 days 04:00:00,-8
train_a,7 days 05:00:00,-11
train_a,7 days 06:00:00,-17
train_a,7 days 07:00:00,-18
train_a,7 days 08:00:00,-14
train_a,7 days 09:00:00,-12
train_a,7 days 10:00:00,-11
train_a,7 days 11:00:00,-6
train_a,7 days 12:00:00,-6
train_a,7 days 13:00:00,-6
train_a,7 days 14:00:00,-5
train_a,7 days 15:00:00,-8
train_a,7 days 16:00:00,-4
train_a,7 days 17:00:00,-5
train_a,7 days 18:00:00,-12
train_a,7 days 19:00:00,-21
train_a,7 days 20:00:00,-27
train_a,7 days 21:00:00,-27
train_a,7 days 22:00:00,-18
train_a,7 days 23:00:00,-9
train_a,8 days 00:00:00,-8
train_a,8 days 01:00:00,-9
train_a,8 days 02:00:00,-12
train_a,8 days 03:00:00,-10
train_a,8 days 04:00:00,-10
train_a,8 days 05:00:00,-9
train_a,8 days 06:00:00,-9
train_a,8 days 07:00:00,-8
train_a,8 days 08:00:00,-11
train_a,8 days 09:00:00,-12
train_a,8 days 10:00:00,-13
train_a,8 days 11:00:00,-12
train_a,8 days 12:00:00,-10
train_a,8 days 13:00:00,-9
train_a,8 days 14:00:00,-7
train_a,8 days 15:00:00,-8
train_a,8 days 16:00:00,-10
train_a,8 days 17:00:00,-11
train_a,8 days 18:00:00,-11
train_a,8 days 19:00:00,-10
train_a,8 days 20:00:00,-9
train_a,8 days 21:00:00,-7
train_a,8 days 22:00:00,-3
train_a,8 days 23:00:00,1
train_a,9 days 00:00:00,3
train_a,9 days 01:00:00,3
train_a,9 days 02:00:00,3
train_a,9 days 03:00:00,1
train_a,9 days 04:00:00,-1
train_a,9 days 05:00:00,-1
train_a,9 days 06:00:00,-5
train_a,9 days 07:00:00,-9
train_a,9 days 08:00:00,-11
train_a,9 days 09:00:00,-12
train_a,9 days 10:00:00,-10
train_a,9 days 11:00:00,-6
train_a,9 days 12:00:00,-1
train_a,9 days 13:00:00,-2
train_a,9 days 14:00:00,-4
train_a,9 days 15:00:00,-6
train_a,9 days 16:00:00,-6
train_a,9 days 17:00:00,-8
train_a,9 days 18:00:00,-11
train_a,9 days 19:00:00,-9
train_a,9 days 20:00:00,-6
train_a,9 days 21:00:00,-3
train_a,9 days 22:00:00,-4
train_a,9 days 23:00:00,-2
train_a,10 days 00:00:00,1
train_a,10 days 01:00:00,4
train_a,10 days 02:00:00,1
train_a,10 days 03:00:00,0
train_a,10 days 04:00:00,1
train_a,10 days 05:00:00,-1
train_a,10 days 06:00:00,-1
train_a,10 days 07:00:00,1
train_a,10 days 08:00:00,3
train_a,10 days 09:00:00,6
train_a,10 days 10:00:00,6
train_a,10 days 11:00:00,8
train_a,10 days 12:00:00,9
train_a,10 days 13:00:00,7
train_a,10 days 14:00:00,3
train_a,10 days 15:00:00,3
train_a,10 days 16:00:00,4
train_a,10 days 17:00:00,3
train_a,10 days 18:00:00,1
train_a,10 days 19:00:00,-1
train_a,10 days 20:00:00,-1
train_a,10 days 21:00:00,1
train_a,10 days 22:00:00,0
train_a,10 days 23:00:00,4
train_a,11 days 00:00:00,8
train_a,11 days 01:00:00,10
train_a,11 days 02:00:00,11
train_a,11 days 03:00:00,12
train_a,11 days 04:00:00,11
train_a,11 days 05:00:00,9
train_a,11 days 06:00:00,8
train_a,11 days 07:00:00,6
train_a,11 days 08:00:00,1
train_a,11 days 09:00:00,1
train_a,11 days 10:00:00,5
train_a,11 days 11:00:00,6
train_a,11 days 12:00:00,5
train_a,11 days 13:00:00,2
train_a,11 days 14:00:00,-3
train_a,11 days 15:00:00,-2
train_a,11 days 16:00:00,-1
train_a,11 days 17:00:00,-5
train_a,11 days 18:00:00,-11
train_a,11 days 19:00:00,-11
train_a,11 days 20:00:00,-8
train_a,11 days 21:00:00,-6
train_a,11 days 22:00:00,-8
train_a,11 days 23:00:00,-8
train_a,12 days 00:00:00,-9
train_a,12 days 01:00:00,-8
train_a,12 days 02:00:00,-6
train_a,12 days 03:00:00,-3
train_a,12 days 04:00:00,-5
train_a,12 days 05:00:00,-7
train_a,12 days 06:00:00,-8
train_a,12 days 07:00:00,-8
train_a,12 days 08:00:00,-7
train_a,12 days 09:00:00,3
train_a,12 days 10:00:00,6
train_a,12 days 11:00:00,0
train_a,12 days 12:00:00,-16
train_a,12 days 13:00:00,-12
train_a,12 days 14:00:00,-18
train_a,12 days 15:00:00,-18
train_a,12 days 16:00:00,-13
train_a,12 days 17:00:00,-15
train_a,12 days 18:00:00,-15
train_a,12 days 19:00:00,-18
train_a,12 days 20:00:00,-19
train_a,12 days 21:00:00,-14
train_a,12 days 22:00:00,-9
train_a,12 days 23:00:00,-6
train_a,13 days 00:00:00,-16
train_a,13 days 01:00:00,-20
train_a,13 days 02:00:00,-26
train_a,13 days 03:00:00,-27
train_a,13 days 04:00:00,-21
train_a,13 days 05:00:00,-15
train_a,13 days 06:00:00,-11
train_a,13 days 07:00:00,-12
train_a,13 days 08:00:00,-12
train_a,13 days 09:00:00,-9
train_a,13 days 10:00:00,-11
train_a,13 days 11:00:00,-9
train_a,13 days 12:00:00,-6
train_a,13 days 13:00:00,-10
train_a,13 days 14:00:00,-5
train_a,13 days 15:00:00,-9
train_a,13 days 16:00:00,-16
train_a,13 days 17:00:00,-18
train_a,13 days 18:00:00,-23
train_a,13 days 19:00:00,-28
train_a,13 days 20:00:00,-27
train_a,13 days 21:00:00,-26
train_a,13 days 22:00:00,-29
train_a,13 days 23:00:00,-25
train_a,14 days 00:00:00,-23
train_a,14 days 01:00:00,-23
train_a,14 days 02:00:00,-19
train_a,14 days 03:00:00,-13
train_a,14 days 04:00:00,-14
train_a,14 days 05:00:00,-16
train_a,14 days 06:00:00,-23
train_a,14 days 07:00:00,-28
train_a,14 days 08:00:00,-28
train_a,14 days 09:00:00,-16
train_a,14 days 10:00:00,-19
train_a,14 days 11:00:00,-19
train_a,14 days 12:00:00,-15
train_a,14 days 13:00:00,-16
train_a,14 days 14:00:00,-23
train_a,14 days 15:00:00,-25
train_a,14 days 16:00:00,-25
train_a,14 days 17:00:00,-30
train_a,14 days 18:00:00,-36
train_a,14 days 19:00:00,-36
train_a,14 days 20:00:00,-35
train_a,14 days 21:00:00,-31
train_a,14 days 22:00:00,-30
train_a,14 days 23:00:00,-25
train_a,15 days 00:00:00,-25
train_a,15 days 01:00:00,-32
train_a,15 days 02:00:00,-29
train_a,15 days 03:00:00,-25
train_a,15 days 04:00:00,-22
train_a,15 days 05:00:00,-22
train_a,15 days 06:00:00,-23
train_a,15 days 07:00:00,-22
train_a,15 days 08:00:00,-18
train_a,15 days 09:00:00,-15
train_a,15 days 10:00:00,-13
train_a,15 days 11:00:00,-11
train_a,15 days 12:00:00,-9
train_a,15 days 13:00:00,-11
train_a,15 days 14:00:00,-14
train_a,15 days 15:00:00,-17
train_a,15 days 16:00:00,-17
train_a,15 days 17:00:00,-18
train_a,15 days 18:00:00,-21
train_a,15 days 19:00:00,-20
train_a,15 days 20:00:00,-18
train_a,15 days 21:00:00,-16
train_a,15 days 22:00:00,-14
train_a,15 days 23:00:00,-16
train_a,16 days 00:00:00,-18
train_a,16 days 01:00:00,-20
train_a,16 days 02:00:00,-22
train_a,16 days 03:00:00,-23
train_a,16 days 04:00:00,-18
train_a,16 days 05:00:00,-14
train_a,16 days 06:00:00,-12
train_a,16 days 07:00:00,-13
train_a,16 days 08:00:00,-15
train_a,16 days 09:00:00,-10
train_a,16 days 10:00:00,-6
train_a,16 days 11:00:00,-5
train_a,16 days 12:00:00,-3
train_a,16 days 13:00:00,-14
train_a,16 days 14:00:00,-22
train_a,16 days 15:00:00,-28
train_a,16 days 16:00:00,-35
train_a,16 days 17:00:00,-36
train_a,16 days 18:00:00,-32
train_a,16 days 19:00:00,-27
train_a,16 days 20:00:00,-27
train_a,16 days 21:00:00,-29
train_a,16 days 22:00:00,-26
train_a,16 days 23:00:00,-17
train_a,17 days 00:00:00,-12
train_a,17 days 01:00:00,-12
train_a,17 days 02:00:00,-14
train_a,17 days 03:00:00,-12
train_a,17 days 04:00:00,-9
train_a,17 days 05:00:00,-9
train_a,17 days 06:00:00,-10
train_a,17 days 07:00:00,-8
train_a,17 days 08:00:00,-6
train_a,17 days 09:00:00,-5
train_a,17 days 10:00:00,-1
train_a,17 days 11:00:00,2
train_a,17 days 12:00:00,3
train_a,17 days 13:00:00,-2
train_a,17 days 14:00:00,-7
train_a,17 days 15:00:00,-8
train_a,17 days 16:00:00,-8
train_a,17 days 17:00:00,-7
train_a,17 days 18:00:00,-6
train_a,17 days 19:00:00,-6
train_a,17 days 20:00:00,-2
train_a,17 days 21:00:00,8
train_a,17 days 22:00:00,24
train_a,17 days 23:00:00,20
train_a,18 days 00:00:00,22
train_a,18 days 01:00:00,12
train_a,18 days 02:00:00,9
train_a,18 days 03:00:00,18
train_a,18 days 04:00:00,7
train_a,18 days 05:00:00,8
train_a,18 days 06:00:00,7
train_a,18 days 07:00:00,19
train_a,18 days 08:00:00,21
train_a,18 days 09:00:00,17
train_a,18 days 10:00:00,12
train_a,18 days 11:00:00,10
train_a,18 days 12:00:00,7
train_a,18 days 13:00:00,5
train_a,18 days 14:00:00,1
train_a,18 days 15:00:00,3
train_a,18 days 16:00:00,5
train_a,18 days 17:00:00,10
train_a,18 days 18:00:00,9
train_a,18 days 19:00:00,4
train_a,18 days 20:00:00,4
train_a,18 days 21:00:00,4
train_a,18 days 22:00:00,5
train_a,18 days 23:00:00,5
train_a,19 days 00:00:00,8
train_a,19 days 01:00:00,4
train_a,19 days 02:00:00,-3
train_a,19 days 03:00:00,-11
train_a,19 days 04:00:00,-15
train_a,19 days 05:00:00,-16
train_a,19 days 06:00:00,-12
train_a,19 days 07:00:00,-9
train_a,19 days 08:00:00,-7
train_a,19 days 09:00:00,-12
train_a,19 days 10:00:00,-12
train_a,19 days 11:00:00,-10
train_a,19 days 12:00:00,-7
train_a,19 days 13:00:00,-3
train_a,19 days 14:00:00,-3
train_a,19 days 15:00:00,-2
train_a,19 days 16:00:00,-2
train_a,19 days 17:00:00,-2
train_a,19 days 18:00:00,0
train_a,19 days 19:00:00,3
train_a,19 days 20:00:00,5
train_a,19 days 21:00:00,8
train_a,19 days 22:00:00,9
train_a,19 days 23:00:00,11
train_a,20 days 00:00:00,15
train_a,20 days 01:00:00,11
train_a,20 days 02:00:00,10
train_a,20 days 03:00:00,10
train_a,20 days 04:00:00,10
train_a,20 days 05:00:00,8
train_a,20 days 06:00:00,7
train_a,20 days 07:00:00,10
train_a,20 days 08:00:00,12
train_a,20 days 09:00:00,11
train_a,20 days 10:00:00,9
train_a,20 days 11:00:00,9
train_a,20 days 12:00:00,9
train_a,20 days 13:00:00,12
train_a,20 days 14:00:00,12
train_a,20 days 15:00:00,13
train_a,20 days 16:00:00,15
train_a,20 days 17:00:00,14
train_a,20 days 18:00:00,12
train_a,20 days 19:00:00,13
train_a,20 days 20:00:00,12
train_a,20 days 21:00:00,11
train_a,20 days 22:00:00,12
train_a,20 days 23:00:00,12
train_a,21 days 00:00:00,11
train_a,21 days 01:00:00,12
train_a,21 days 02:00:00,14
train_a,21 days 03:00:00,15
train_a,21 days 04:00:00,15
train_a,21 days 05:00:00,18
train_a,21 days 06:00:00,19
train_a,21 days 07:00:00,14
train_a,21 days 08:00:00,11
train_a,21 days 09:00:00,10
train_a,21 days 10:00:00,10
train_a,21 days 11:00:00,6
train_a,21 days 12:00:00,5
train_a,21 days 13:00:00,1
train_a,21 days 14:00:00,-2
train_a,21 days 15:00:00,-3
train_a,21 days 16:00:00,-3
train_a,21 days 17:00:00,-3
train_a,21 days 18:00:00,-6
train_a,21 days 19:00:00,-6
train_a,21 days 20:00:00,-6
train_a,21 days 21:00:00,-5
train_a,21 days 22:00:00,-3
train_a,21 days 23:00:00,-1
train_a,22 days 00:00:00,4
train_a,22 days 01:00:00,7
train_a,22 days 02:00:00,11
train_a,22 days 03:00:00,16
train_a,22 days 04:00:00,15
train_a,22 days 05:00:00,14
train_a,22 days 06:00:00,7
train_a,22 days 07:00:00,-7
train_a,22 days 08:00:00,-14
train_a,22 days 09:00:00,4
train_a,22 days 10:00:00,15
train_a,22 days 11:00:00,-2
train_a,22 days 12:00:00,-5
train_a,22 days 13:00:00,-6
train_a,22 days 14:00:00,-10
train_a,22 days 15:00:00,-20
train_a,22 days 16:00:00,-53
train_a,22 days 17:00:00,-92
train_a,22 days 18:00:00,-106
train_a,22 days 19:00:00,-107
train_a,22 days 20:00:00,-116
train_a,22 days 21:00:00,-115
train_a,22 days 22:00:00,-114
train_a,22 days 23:00:00,-114
train_a,23 days 00:00:00,-107
train_a,23 days 01:00:00,-99
train_a,23 days 02:00:00,-89
train_a,23 days 03:00:00,-86
train_a,23 days 04:00:00,-85
train_a,23 days 05:00:00,-85
train_a,23 days 06:00:00,-76
train_a,23 days 07:00:00,-66
train_a,23 days 08:00:00,-67
train_a,23 days 09:00:00,-60
train_a,23 days 10:00:00,-61
train_a,23 days 11:00:00,-60
train_a,23 days 12:00:00,-58
train_a,23 days 13:00:00,-56
train_a,23 days 14:00:00,-60
train_a,23 days 15:00:00,-61
train_a,23 days 16:00:00,-60
train_a,23 days 17:00:00,-56
train_a,23 days 18:00:00,-54
train_a,23 days 19:00:00,-49
train_a,23 days 20:00:00,-50
train_a,23 days 21:00:00,-50
train_a,23 days 22:00:00,-58
train_a,23 days 23:00:00,-57
train_a,24 days 00:00:00,-55
train_a,24 days 01:00:00,-52
train_a,24 days 02:00:00,-55
train_a,24 days 03:00:00,-58
train_a,24 days 04:00:00,-60
train_a,24 days 05:00:00,-60
train_a,24 days 06:00:00,-62
train_a,24 days 07:00:00,-62
train_a,24 days 08:00:00,-53
train_a,24 days 09:00:00,-44
train_a,24 days 10:00:00,-39
train_a,24 days 11:00:00,-38
train_a,24 days 12:00:00,-41
train_a,24 days 13:00:00,-39
train_a,24 days 14:00:00,-39
train_a,24 days 15:00:00,-40
train_a,24 days 16:00:00,-38
train_a,24 days 17:00:00,-37
train_a,24 days 18:00:00,-36
train_a,24 days 19:00:00,-35
train_a,24 days 20:00:00,-34
train_a,24 days 21:00:00,-33
train_a,24 days 22:00:00,-39
train_a,24 days 23:00:00,-44
train_a,25 days 00:00:00,-45
train_a,25 days 01:00:00,-43
train_a,25 days 02:00:00,-43
train_a,25 days 03:00:00,-43
train_a,25 days 04:00:00,-44
train_a,25 days 05:00:00,-41
train_a,25 days 06:00:00,-42
train_a,25 days 07:00:00,-39
train_a,25 days 08:00:00,-38
train_a,25 days 09:00:00,-40
train_a,25 days 10:00:00,-38
train_a,25 days 11:00:00,-38
train_a,25 days 12:00:00,-35
train_a,25 days 13:00:00,-36
train_a,25 days 14:00:00,-40
train_a,25 days 15:00:00,-44
train_a,25 days 16:00:00,-42
train_a,25 days 17:00:00,-43
train_a,25 days 18:00:00,-39
train_a,25 days 19:00:00,-38
train_a,25 days 20:00:00,-40
train_a,25 days 21:00:00,-41
train_a,25 days 22:00:00,-46
train_a,25 days 23:00:00,-40
train_a,26 days 00:00:00,-37
train_a,26 days 01:00:00,-39
train_a,26 days 02:00:00,-40
train_a,26 days 03:00:00,-42
train_a,26 days 04:00:00,-40
train_a,26 days 05:00:00,-38
train_a,26 days 06:00:00,-38
train_a,26 days 07:00:00,-33
train_a,26 days 08:00:00,-31
train_a,26 days 09:00:00,-31
train_a,26 days 10:00:00,-29
train_a,26 days 11:00:00,-22
train_a,26 days 12:00:00,-21
train_a,26 days 13:00:00,-23
train_a,26 days 14:00:00,-23
train_a,26 days 15:00:00,-24
train_a,26 days 16:00:00,-27
train_a,26 days 17:00:00,-29
train_a,26 days 18:00:00,-35
train_a,26 days 19:00:00,-41
train_a,26 days 20:00:00,-41
train_a,26 days 21:00:00,-42
train_a,26 days 22:00:00,-40
train_a,26 days 23:00:00,-32
train_a,27 days 00:00:00,-35
train_a,27 days 01:00:00,-46
train_a,27 days 02:00:00,-46
train_a,27 days 03:00:00,-49
train_a,27 days 04:00:00,-52
train_a,27 days 05:00:00,-58
train_a,27 days 06:00:00,-53
train_a,27 days 07:00:00,-45
train_a,27 days 08:00:00,-45
train_a,27 days 09:00:00,-48
train_a,27 days 10:00:00,-49
train_a,27 days 11:00:00,-47
train_a,27 days 12:00:00,-48
train_a,27 days 13:00:00,-51
train_a,27 days 14:00:00,-50
train_a,27 days 15:00:00,-43
train_a,27 days 16:00:00,-38
train_a,27 days 17:00:00,-35
train_a,27 days 18:00:00,-34
train_a,27 days 19:00:00,-33
train_a,27 days 20:00:00,-29
train_a,27 days 21:00:00,-28
train_a,27 days 22:00:00,-32
train_a,27 days 23:00:00,-36
train_a,28 days 00:00:00,-43
train_a,28 days 01:00:00,-41
train_a,28 days 02:00:00,-40
train_a,28 days 03:00:00,-44
train_a,28 days 04:00:00,-45
train_a,28 days 05:00:00,-44
train_a,28 days 06:00:00,-39
train_a,28 days 07:00:00,-35
train_a,28 days 08:00:00,-32
train_a,28 days 09:00:00,-30
train_a,28 days 10:00:00,-30
train_a,28 days 11:00:00,-25
train_a,28 days 12:00:00,-26
train_a,28 days 13:00:00,-30
train_a,28 days 14:00:00,-39
train_a,28 days 15:00:00,-39
train_a,28 days 16:00:00,-38
train_a,28 days 17:00:00,-40
train_a,28 days 18:00:00,-40
train_a,28 days 19:00:00,-37
train_a,28 days 20:00:00,-41
train_a,28 days 21:00:00,-36
train_a,28 days 22:00:00,-33
train_a,28 days 23:00:00,-29
train_a,29 days 00:00:00,-26
train_a,29 days 01:00:00,-29
train_a,29 days 02:00:00,-32
train_a,29 days 03:00:00,-35
train_a,29 days 04:00:00,-37
train_a,29 days 05:00:00,-33
train_a,29 days 06:00:00,-30
train_a,29 days 07:00:00,-24
train_a,29 days 08:00:00,-18
train_a,29 days 09:00:00,-14
train_a,29 days 10:00:00,-15
train_a,29 days 11:00:00,-12
train_a,29 days 12:00:00,-11
train_a,29 days 13:00:00,-11
train_a,29 days 14:00:00,-10
train_a,29 days 15:00:00,-10
train_a,29 days 16:00:00,-12
train_a,29 days 17:00:00,-13
train_a,29 days 18:00:00,-15
train_a,29 days 19:00:00,-19
train_a,29 days 20:00:00,-16
train_a,29 days 21:00:00,-16
train_a,29 days 22:00:00,-22
train_a,29 days 23:00:00,-23
train_a,30 days 00:00:00,-22
train_a,30 days 01:00:00,-22
train_a,30 days 02:00:00,-25
train_a,30 days 03:00:00,-28
train_a,30 days 04:00:00,-28
train_a,30 days 05:00:00,-25
train_a,30 days 06:00:00,-21
train_a,30 days 07:00:00,-19
train_a,30 days 08:00:00,-17
train_a,30 days 09:00:00,-15
train_a,30 days 10:00:00,-14
train_a,30 days 11:00:00,-13
train_a,30 days 12:00:00,-13
train_a,30 days 13:00:00,-14
train_a,30 days 14:00:00,-15
train_a,30 days 15:00:00,-16
train_a,30 days 16:00:00,-16
train_a,30 days 17:00:00,-17
train_a,30 days 18:00:00,-16
train_a,30 days 19:00:00,-17
train_a,30 days 20:00:00,-17
train_a,30 days 21:00:00,-18
train_a,30 days 22:00:00,-19
train_a,30 days 23:00:00,-21
train_a,31 days 00:00:00,-23
train_a,31 days 01:00:00,-22
train_a,31 days 02:00:00,-20
train_a,31 days 03:00:00,-20
train_a,31 days 04:00:00,-20
train_a,31 days 05:00:00,-18
train_a,31 days 06:00:00,-16
train_a,31 days 07:00:00,-15
train_a,31 days 08:00:00,-12
train_a,31 days 09:00:00,-12
train_a,31 days 10:00:00,-12
train_a,31 days 11:00:00,-12
train_a,31 days 12:00:00,-11
train_a,31 days 13:00:00,-11
train_a,31 days 14:00:00,-12
train_a,31 days 15:00:00,-12
train_a,31 days 16:00:00,-9
train_a,31 days 17:00:00,-8
train_a,31 days 18:00:00,-5
train_a,31 days 19:00:00,-5
train_a,31 days 20:00:00,-5
train_a,31 days 21:00:00,-3
train_a,31 days 22:00:00,0
train_a,31 days 23:00:00,-4
train_a,32 days 00:00:00,-8
train_a,32 days 01:00:00,-13
train_a,32 days 02:00:00,-13
train_a,32 days 03:00:00,-8
train_a,32 days 04:00:00,-5
train_a,32 days 05:00:00,-3
train_a,32 days 06:00:00,-2
train_a,32 days 07:00:00,-7
train_a,32 days 08:00:00,-4
train_a,32 days 09:00:00,-4
train_a,32 days 10:00:00,-12
train_a,32 days 11:00:00,-11
train_a,32 days 12:00:00,-10
train_a,32 days 13:00:00,-11
train_a,32 days 14:00:00,-12
train_a,32 days 15:00:00,-16
train_a,32 days 16:00:00,-15
train_a,32 days 17:00:00,-16
train_a,32 days 18:00:00,-15
train_a,32 days 19:00:00,-16
train_a,32 days 20:00:00,-22
train_a,32 days 21:00:00,-28
train_a,32 days 22:00:00,-32
train_a,32 days 23:00:00,-32
train_a,33 days 00:00:00,-33
train_a,33 days 01:00:00,-35
train_a,33 days 02:00:00,-32
train_a,33 days 03:00:00,-26
train_a,33 days 04:00:00,-15
train_a,33 days 05:00:00,-13
train_a,33 days 06:00:00,-13
train_a,33 days 07:00:00,-12
train_a,33 days 08:00:00,-9
train_a,33 days 09:00:00,-9
train_a,33 days 10:00:00,-19
train_a,33 days 11:00:00,-34
train_a,33 days 12:00:00,-32
train_a,33 days 13:00:00,-46
train_a,33 days 14:00:00,-71
train_a,33 days 15:00:00,-85
train_a,33 days 16:00:00,-82
train_a,33 days 17:00:00,-65
train_a,33 days 18:00:00,-52
train_a,33 days 19:00:00,-68
train_a,33 days 20:00:00,-63
train_a,33 days 21:00:00,-52
train_a,33 days 22:00:00,-50
train_a,33 days 23:00:00,-45
train_a,34 days 00:00:00,-44
train_a,34 days 01:00:00,-42
train_a,34 days 02:00:00,-39
train_a,34 days 03:00:00,-41
train_a,34 days 04:00:00,-36
train_a,34 days 05:00:00,-33
train_a,34 days 06:00:00,-30
train_a,34 days 07:00:00,-33
train_a,34 days 08:00:00,-38
train_a,34 days 09:00:00,-37
train_a,34 days 10:00:00,-37
train_a,34 days 11:00:00,-36
train_a,34 days 12:00:00,-33
train_a,34 days 13:00:00,-32
train_a,34 days 14:00:00,-29
